x;y 
17,132326;15,038908
16,896961;15,171667
16,660856;15,305228
16,424106;15,439615
16,186802;15,574851
15,949038;15,710959
15,710906;15,847962
15,472499;15,985884
15,23391;16,124748
14,995232;16,264577
14,756559;16,405395
14,517981;16,547224
14,279594;16,690088
14,041488;16,83401
13,803758;16,979013
13,566496;17,12512
13,329795;17,272356
13,093748;17,420742
12,858448;17,570302
12,623987;17,72106
12,390459;17,873039
12,157955;18,026262
11,92657;18,180751
11,696396;18,336531
11,467526;18,493625
11,240052;18,652056
11,014068;18,811846
10,789667;18,97302
10,56694;19,1356
10,345982;19,299611
10,126885;19,465074
9,909741;19,632013
9,694645;19,800452
9,481688;19,970414
9,270963;20,141921
9,062564;20,314998
8,856583;20,489667
8,653112;20,665952
8,452246;20,843876
8,254077;21,023462
8,058697;21,204733
7,866199;21,387712
7,676677;21,572424
7,490223;21,758891
7,30693;21,947135
7,12689;22,137182
6,950198;22,329053
6,776945;22,522772
6,607225;22,718362
6,441129;22,915847
6,278753;23,115249
6,120187;23,316593
5,965525;23,5199
5,814859;23,725195
5,668284;23,9325
5,525891;24,14184
5,387773;24,353236
5,254023;24,566713
5,124735;24,782293
5;25
4,879891;25,219846
4,764392;25,441795
4,653468;25,665804
4,547084;25,891825
4,445202;26,119812
4,347787;26,349721
4,254803;26,581506
4,166215;26,81512
4,081986;27,050518
4,002079;27,287654
3,926461;27,526483
3,855093;27,766958
3,787941;28,009034
3,724968;28,252664
3,666139;28,497805
3,611418;28,744408
3,560768;28,99243
3,514154;29,241823
3,471539;29,492542
3,432888;29,744542
3,398166;29,997777
3,367335;30,252201
3,340359;30,507767
3,317204;30,764431
3,297833;31,022147
3,28221;31,280869
3,270299;31,54055
3,262065;31,801146
3,25747;32,06261
3,25648;32,324897
3,259059;32,587962
3,265169;32,851757
3,274776;33,116238
3,287844;33,381358
3,304336;33,647073
3,324217;33,913335
3,347451;34,1801
3,374001;34,447322
3,403832;34,714954
3,436908;34,982952
3,473193;35,251269
3,51265;35,519859
3,555245;35,788677
3,600941;36,057678
3,649702;36,326814
3,701492;36,596041
3,756275;36,865313
3,814016;37,134583
3,874677;37,403807
3,938225;37,672939
4,004621;37,941931
4,073831;38,21074
4,145819;38,479319
4,220548;38,747622
4,297983;39,015604
4,378087;39,283219
4,460825;39,55042
4,546162;39,817163
4,634059;40,083402
4,724483;40,34909
4,817397;40,614182
4,912765;40,878633
5,01055;41,142395
5,110718;41,405425
5,213232;41,667675
5,318057;41,929101
5,425155;42,189656
5,534492;42,449294
5,646031;42,707971
5,759737;42,965639
5,875573;43,222254
5,993504;43,477769
6,113493;43,732139
