x;y 
6,578993;22,395852
6,437199;22,58391
6,298596;22,773901
6,163237;22,965855
6,031178;23,159801
5,902472;23,355771
5,777172;23,553795
5,655333;23,753902
5,537009;23,956124
5,422254;24,16049
5,311121;24,36703
5,203665;24,575775
5,09994;24,786755
5;25
4,903885;25,215528
4,811582;25,433303
4,723065;25,653279
4,638308;25,875408
4,557284;26,099643
4,479968;26,325935
4,406331;26,554238
4,336349;26,784504
4,269995;27,016685
4,207243;27,250734
4,148066;27,486604
4,092437;27,724247
4,040332;27,963615
3,991722;28,204661
3,946582;28,447338
3,904886;28,691597
3,866607;28,937393
3,831719;29,184676
3,800196;29,4334
3,772011;29,683516
3,747137;29,934978
3,725549;30,187739
3,70722;30,441749
3,692124;30,696963
3,680234;30,953333
3,671525;31,21081
3,665969;31,469348
3,663541;31,728899
3,664214;31,989415
3,667961;32,25085
3,674757;32,513155
3,684575;32,776283
3,697389;33,040187
3,713172;33,304819
3,731898;33,570131
3,753541;33,836077
3,778074;34,102608
3,805471;34,369677
3,835706;34,637237
3,868752;34,90524
3,904584;35,173638
3,943173;35,442385
3,984496;35,711432
4,028524;35,980733
4,075231;36,250239
4,124592;36,519903
4,17658;36,789677
4,231169;37,059515
4,288332;37,329369
4,348042;37,59919
4,410275;37,868933
4,475002;38,138548
4,542198;38,407989
4,611837;38,677208
4,683892;38,946158
4,758337;39,214791
4,835146;39,48306
4,914291;39,750917
4,995748;40,018315
5,079489;40,285206
5,165488;40,551542
5,253719;40,817277
5,344155;41,082362
5,436771;41,346751
5,531539;41,610395
5,628434;41,873247
5,727428;42,135261
5,828497;42,396387
5,931613;42,656579
6,03675;42,91579
6,143882;43,173971
6,252982;43,431075
6,364024;43,687055
6,476982;43,941864
6,591829;44,195453
6,708539;44,447775
6,827086;44,698783
6,947443;44,94843
7,069585;45,196667
7,193484;45,443447
7,319114;45,688724
7,446449;45,932448
7,575463;46,174573
7,706129;46,415052
7,838421;46,653836
7,972312;46,890879
8,107777;47,126132
8,244789;47,359549
8,383321;47,591082
8,523348;47,820683
8,664842;48,048304
8,807778;48,273899
8,952129;48,49742
9,097869;48,71882
9,244972;48,93805
9,39341;49,155063
9,543159;49,369812
9,694191;49,58225
9,84648;49,792328
10;50
10,310647;50,408017
10,626023;50,806336
10,946037;51,195076
11,270601;51,574355
11,599625;51,944294
11,933019;52,305009
12,270694;52,65662
12,61256;52,999246
12,958529;53,333006
13,30851;53,658018
13,662414;53,9744
14,020151;54,282273
14,381632;54,581754
14,746768;54,872962
15,115469;55,156016
15,487646;55,431035
15,863208;55,698138
16,242067;55,957442
16,624133;56,209068
17,009317;56,453134
17,397529;56,689758
17,788679;56,919059
18,182679;57,141156
18,579438;57,356168
18,978868;57,564214
19,380878;57,765412
19,785379;57,959881
20,192282;58,14774
20,601497;58,329107
21,012935;58,504101
21,426506;58,672842
21,842121;58,835447
22,25969;58,992036
22,679124;59,142728
23,100333;59,28764
23,523228;59,426892
23,947719;59,560603
24,373717;59,688891
24,801132;59,811875
25,229875;59,929674
25,659857;60,042407
26,090987;60,150192
26,523177;60,253148
26,956337;60,351393
27,390377;60,445048
27,825208;60,53423
28,26074;60,619057
28,696885;60,69965
29,133551;60,776127
29,570651;60,848605
30,008094;60,917205
30,445792;60,982045
30,883653;61,043243
31,32159;61,100919
31,759512;61,155191
32,197331;61,206177
32,634956;61,253998
33,072298;61,29877
33,509267;61,340614
33,945775;61,379648
34,381731;61,41599
34,817046;61,44976
35,251631;61,481076
